date,sessionSource,sessionMedium,sessionCampaignName,sessionDefaultChannelGroup,deviceCategory,city,landingPagePlusQueryString,newVsReturning,sessions,totalUsers,newUsers,bounceRate,averageSessionDuration,screenPageViewsPerSession,engagedSessions,engagementRate,userEngagementDuration,conversions,purchaseRevenue,transactions
20241001,google,organic,(organic),Organic Search,mobile,Antalya,/kadin,new,235,208,176,0.6376,68.6,1.73,65,0.2766,4459.0,8,14989.1,7
20241001,google,organic,(organic),Organic Search,mobile,Antalya,/kampanya/black-friday,returning,311,248,24,0.4059,260.9,2.31,174,0.5595,45396.6,10,13331.43,8
20241001,google,organic,(organic),Organic Search,mobile,Adana,/cocuk,new,231,199,169,0.6281,287.7,3.33,77,0.3333,22152.9,7,11519.14,5
20241001,google,organic,(organic),Organic Search,mobile,Adana,/urun/nike-dri-fit-erkek-tisort,returning,299,248,24,0.4665,299.0,4.55,126,0.4214,37674.0,6,8979.0,5
20241001,google,organic,(organic),Organic Search,mobile,Malatya,/kadin-ayakkabi,new,341,247,209,0.5026,128.9,4.09,136,0.3988,17530.4,12,8644.71,10
20241001,google,organic,(organic),Organic Search,mobile,Malatya,/kampanya/black-friday,returning,239,213,21,0.4153,222.8,2.1,114,0.477,25399.2,4,2599.6,3
20241001,google,organic,(organic),Organic Search,mobile,Istanbul,/odeme,new,338,248,210,0.4509,266.6,3.41,143,0.4231,38123.8,10,19319.59,8
20241001,google,organic,(organic),Organic Search,mobile,Istanbul,/urun/adidas-ultraboost-erkek-kosu,returning,286,257,25,0.5066,274.0,3.47,112,0.3916,30688.0,6,7522.43,4
20241001,google,organic,(organic),Organic Search,desktop,Konya,/erkek-ayakkabi,new,164,150,127,0.3578,150.5,4.05,98,0.5976,14749.0,3,2345.05,2
20241001,google,organic,(organic),Organic Search,desktop,Konya,/erkek-mont,returning,106,80,8,0.5875,123.5,4.07,36,0.3396,4446.0,2,1595.86,1
20241001,google,organic,(organic),Organic Search,desktop,Manisa,/kampanya/bahar-koleksiyonu,new,120,85,72,0.3394,240.9,5.17,61,0.5083,14694.9,2,866.32,1
20241001,google,organic,(organic),Organic Search,desktop,Manisa,/kadin-spor-ayakkabi,returning,150,109,10,0.352,105.9,5.02,91,0.6067,9636.9,2,1364.67,1
20241001,google,organic,(organic),Organic Search,desktop,Gaziantep,/erkek,new,166,153,130,0.518,245.8,2.0,62,0.3735,15239.6,3,3204.11,2
20241001,google,organic,(organic),Organic Search,desktop,Gaziantep,/urun/adidas-ultraboost-erkek-kosu,returning,103,75,7,0.6232,127.8,1.82,30,0.2913,3834.0,1,0.0,0
20241001,google,organic,(organic),Organic Search,desktop,Istanbul,/erkek-sneaker,new,146,126,107,0.5213,102.4,3.05,55,0.3767,5632.0,4,4318.58,3
20241001,google,organic,(organic),Organic Search,desktop,Istanbul,/erkek-spor-ayakkabi,returning,165,122,12,0.3645,319.1,5.1,74,0.4485,23613.4,4,6637.8,3
